0.00B 	base
36.21MiB 	openexr
36.53MiB 	git
36.91MiB 	icu
41.51MiB 	otf-san-francisco-pro
44.10MiB 	guile
46.00MiB 	glibc
53.61MiB 	telegram-desktop
55.38MiB 	js60
56.40MiB 	perl
58.94MiB 	libibus
61.19MiB 	qt5-base
65.31MiB 	breeze-icons
72.49MiB 	linux
73.34MiB 	gtk3
78.21MiB 	llvm-libs
81.61MiB 	mesa
90.85MiB 	noto-fonts
144.83MiB 	gcc
149.55MiB 	gcc-libs
151.53MiB 	python
189.24MiB 	firefox
198.30MiB 	ttf-apple-emoji
219.43MiB 	visual-studio-code-bin
472.96MiB 	linux-firmware
